신호등순번,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,시군코드,관리기관명,관리기관전화번호,데이터기준일자
12389,전라북도,전주시,시도,,유연로,03,,전라북도 전주시 완산구 서신동 1003-1,35.82523764,127.1229504,03,02,N,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12390,전라북도,전주시,시도,,유연로,03,,전라북도 전주시 완산구 서신동 1003-1,35.82520788,127.1229504,03,02,N,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12391,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.82064116,127.1227129,03,02,Y,20,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12392,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.8206319,127.1228197,03,02,Y,20,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12393,전라북도,전주시,시도,,,03,,전라북도 전주시 완산구 중화산동2가 676,35.8205996,127.123067,03,02,N,20,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12394,전라북도,전주시,시도,,,03,,전라북도 전주시 완산구 중화산동2가 676,35.82054922,127.1230781,03,02,N,20,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12395,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.82070038,127.1230053,03,02,Y,20,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12396,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.82069585,127.1229603,03,02,Y,20,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12397,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81917572,127.1230648,03,02,Y,21,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12398,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81916891,127.1230029,03,02,Y,21,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12399,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81901115,127.1228143,03,02,Y,21,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12400,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81900207,127.1227413,03,02,Y,21,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12401,전라북도,전주시,시도,,효자로,03,,전라북도 전주시 완산구 중화산동2가 666,35.81909602,127.1226458,03,02,N,21,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12402,전라북도,전주시,시도,,효자로,03,,전라북도 전주시 완산구 중화산동2가 666,35.81913035,127.1226599,03,02,N,21,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12403,전라북도,전주시,시도,,어은로,03,,전라북도 전주시 완산구 중화산동2가 678,35.81658876,127.1232238,03,02,N,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12404,전라북도,전주시,시도,,어은로,03,,전라북도 전주시 완산구 중화산동2가 678,35.81655213,127.1232237,03,02,N,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12405,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81665753,127.1231255,03,02,Y,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12406,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81665989,127.1230581,03,02,Y,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12407,전라북도,전주시,시도,,중산중앙로,03,,전라북도 전주시 완산구 중화산동2가 673,35.81646108,127.1227121,03,02,N,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12408,전라북도,전주시,시도,,중산중앙로,03,,전라북도 전주시 완산구 중화산동2가 673,35.8165,127.1227121,03,02,N,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12409,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81640602,127.12283,03,02,Y,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12410,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 676,35.81640137,127.1229031,03,02,Y,22,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12411,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81191583,127.1233079,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12412,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81191592,127.1232236,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12413,전라북도,전주시,시도,,서원로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81195695,127.1233979,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12414,전라북도,전주시,시도,,서원로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81200729,127.1234205,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12415,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81216309,127.1232858,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12416,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81216318,127.1232015,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12417,전라북도,전주시,시도,,서원로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81216805,127.1229148,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12418,전라북도,전주시,시도,,서원로,03,,전라북도 전주시 완산구 중화산동2가 560,35.81211311,127.1229147,03,02,Y,23,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12419,전라북도,전주시,시도,,신봉로,03,,전라북도 전주시 완산구 효자동1가 646,35.80934325,127.1228402,03,02,N,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12420,전라북도,전주시,시도,,신봉로,03,,전라북도 전주시 완산구 효자동1가 646,35.80934321,127.1228796,03,02,N,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12421,전라북도,전주시,시도,,따박골로,03,,전라북도 전주시 완산구 중화산동2가 562-4,35.80936081,127.1235766,03,02,N,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12422,전라북도,전주시,시도,,따박골로,03,,전라북도 전주시 완산구 중화산동2가 562-4,35.80939057,127.123571,03,02,N,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12423,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80925143,127.1230789,03,02,Y,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12424,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.8092445,127.1231464,03,02,Y,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12425,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80926954,127.1232841,03,02,Y,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12426,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80926718,127.1233516,03,02,Y,24,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12427,전라북도,전주시,시도,,용머리로,03,,전라북도 전주시 완산구 효자동1가 173-3,35.80584743,127.12304,03,02,N,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12428,전라북도,전주시,시도,,용머리로,03,,전라북도 전주시 완산구 효자동1가 173-3,35.80589548,127.1230541,03,02,N,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12429,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80604191,127.123133,03,02,Y,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12430,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80603269,127.1232004,03,02,Y,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12431,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80604621,127.1234028,03,02,Y,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12432,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 649,35.80603243,127.1234534,03,02,Y,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12433,전라북도,전주시,시도,,용머리로,03,,전라북도 전주시 완산구 효자동1가 525-6,35.80593619,127.1235403,03,02,N,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12434,전라북도,전주시,시도,,용머리로,03,,전라북도 전주시 완산구 효자동1가 525-6,35.80590641,127.1235571,03,02,N,25,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12435,전라북도,전주시,시도,,효동2길,03,,전라북도 전주시 완산구 효자동1가 581,35.80258774,127.12512,03,02,N,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12436,전라북도,전주시,시도,,효동2길,03,,전라북도 전주시 완산구 효자동1가 581,35.80255566,127.1251509,03,02,N,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12437,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 589,35.80246385,127.1253784,03,02,Y,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12438,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 589,35.80250271,127.1254318,03,02,Y,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12439,전라북도,전주시,시도,,성지산로,03,,전라북도 전주시 완산구 효자동1가 산 213-1,35.80271545,127.1255867,03,02,N,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12440,전라북도,전주시,시도,,성지산로,03,,전라북도 전주시 완산구 효자동1가 산 213-1,35.80274525,127.1255474,03,02,N,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12441,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 214-3,35.80281409,127.1253874,03,02,Y,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12442,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 효자동1가 214-3,35.8027798,127.1253452,03,02,Y,26,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12443,전라북도,전주시,시도,,,03,,전라북도 전주시 완산구 삼천동1가 138-7,35.80158107,127.1267483,03,02,N,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12444,전라북도,전주시,시도,,,03,,전라북도 전주시 완산구 삼천동1가 138-7,35.80159941,127.1267259,03,02,N,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12445,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 136,35.80150094,127.1267594,03,02,Y,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12446,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 136,35.8014758,127.12672,03,02,Y,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12447,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 136,35.80145294,127.1266807,03,02,Y,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12448,전라북도,전주시,시도,,,03,,전라북도 전주시 완산구 삼천동1가 589,35.8013548,127.1264079,03,02,N,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12449,전라북도,전주시,시도,,,03,,전라북도 전주시 완산구 삼천동1가 589,35.80138687,127.1263855,03,02,N,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12450,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 589,35.80135695,127.12654,03,02,Y,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12451,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 589,35.80133867,127.1265035,03,02,Y,27,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,Y,01,전주시,063-222-1000,2021-12-21
12452,전라북도,전주시,시도,,용리로,03,,전라북도 전주시 완산구 삼천동1가 759,35.7994542,127.12908,03,02,N,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12453,전라북도,전주시,시도,,용리로,03,,전라북도 전주시 완산구 삼천동1가 759,35.79947942,127.1290436,03,02,N,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12454,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 754,35.79953007,127.1287795,03,02,Y,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12455,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 754,35.79949577,127.1287401,03,02,Y,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12456,전라북도,전주시,시도,,안행로,03,,전라북도 전주시 완산구 삼천동1가 589,35.79916461,127.1285569,03,02,N,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12457,전라북도,전주시,시도,,안행로,03,,전라북도 전주시 완산구 삼천동1가 589,35.7991371,127.1285934,03,02,N,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12458,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 709,35.79906816,127.1288406,03,02,Y,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12459,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 709,35.7990887,127.1288912,03,02,Y,28,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12460,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 평화동1가 산 113-2,35.79769267,127.1306592,03,02,Y,29,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12461,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 평화동1가 산 113-2,35.79766754,127.1306142,03,02,Y,29,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12462,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 삼천동1가 709,35.7975532,127.130496,03,02,Y,29,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
